symbol,city,administrative,population,foundation,area_km2
Pokrov COA.png,Покров,Дніпропетровська область,44 834,1883,26.00
Pokrovsk gerb.png,Покровськ,Донецька область,69 154,1875,29.57
Pologi city coa.PNG,Пологи,Запорізька область,22 206,1887,16.00
Polonne-gerb.png,Полонне,Хмельницька область,23 211,996 ,23.53
Poltava coat.svg,Полтава,Полтавська область,317 998,899,103.00
Pomichna gerb.PNG,Помічна,Кіровоградська область,10 946,1868,8.15
Герб Попасной.png,Попасна,Луганська область,25 951,1878,29.00
Pochaiv gerb.png,Почаїв,Тернопільська область,8 240,1450 ,44.00
Герб города Приволье.gif,Привілля,Луганська область,9 004,1695,6.00
Прилуки-герб.png,Прилуки,Чернігівська область,64 861,1085 ,42.00
Primorsk city coa.png,Приморськ,Запорізька область,12 973,1800,25.00
Coat of Arms of Pripyat.svg,Прип'ять,Київська область,0,1970,8.00
Pustomyty gerb.png,Пустомити,Львівська область,9 798,1441,13.40
Герб Путивля.png,Путивль,Сумська область,17 354,1146 ,10.51
Pyatyhatky gerb.png,П'ятихатки,Дніпропетровська область,20 563,1886,18.38
Coat of Arms of Rava-Rus'ka.png,Рава-Руська,Львівська область,8 070,1455,8.50
Радехів герб.png,Радехів,Львівська область,9 230,1494 ,16.26
COA Radvilov.PNG,Радивилів,Рівненська область,10 311,1564 ,6.40
Radomyshl herb.png,Радомишль,Житомирська область,15 326,1150,6.50
Rahiv gerb.png,Рахів,Закарпатська область,15 241,1447,5.70
Reni gerb.png,Рені,Одеська область,20 481,1821,39.30
Reshetylivka gerb.gif,Решетилівка,9.00
Rzhischiv gerb.svg,Ржищів,Київська область,8 447,1151,35.60
Coat of arms Rivne.svg,Рівне,Рівненська область,248 813,1283 ,63.00
Coat of Arms of Rovenki.gif,Ровеньки,Луганська область,53 725,1705,21.70
Rohatyn gerb.png,Рогатин,Івано-Франківська область,8 607,1184,15.00
Rodynske new gerb.png,Родинське,Донецька область,11 996,1950,6.70
Roghysche s.gif,Рожище,Волинська область,13 636,1377,10.00
Rozdilna coat of arms.png,Роздільна,Одеська область,17 754,1863,7.20
COA Romny Sumska Ukraine.svg,Ромни,Сумська область,50 448,1096 ,26.70
Rubezhnoe gerb.png,Рубіжне,Луганська область,65 322,1895,33.76
H1RUDKY.jpg,Рудки,Львівська область,4 942,1472,3.80
COA Saky Crimea Ukraine.svg,Саки,Автономна Республіка Крим,29 416,XIV ст.,28.74
Coat of Arms of Sambir.svg,Самбір,Львівська область,36 556,1241,24.00
