city,lat,lng,country,iso2,admin,capital,population,population_proper
Zhovkva,50.05825,23.972596,Ukraine,UA,L’vivs’ka Oblast’,minor,,
Yemil’chyne,50.873488,27.806035,Ukraine,UA,Zhytomyrs’ka Oblast’,minor,,
Pryluky,50.593235,32.387614,Ukraine,UA,Chernihivs’ka Oblast’,minor,,
Sakhnovshchyna,49.151664,35.871978,Ukraine,UA,Kharkivs’ka Oblast’,minor,,
Ovidiopol’,46.249984,30.44127,Ukraine,UA,Odes’ka Oblast’,minor,,
Tlumach,48.86403,25.003249,Ukraine,UA,Ivano-Frankivs’ka Oblast’,minor,,
Kolomak,49.839865,35.304415,Ukraine,UA,Kharkivs’ka Oblast’,minor,,
Barvinkove,48.909696,37.020511,Ukraine,UA,Kharkivs’ka Oblast’,minor,,
Kozyatyn,49.714312,28.833848,Ukraine,UA,Vinnyts’ka Oblast’,minor,,
Kazanka,47.846249,32.821771,Ukraine,UA,Mykolayivs’ka Oblast’,minor,,
Romaniv,50.148015,27.931243,Ukraine,UA,Zhytomyrs’ka Oblast’,minor,,
Snyatyn,48.446922,25.569371,Ukraine,UA,Ivano-Frankivs’ka Oblast’,minor,,
Velyka Lepetykha,47.175719,33.943625,Ukraine,UA,Khersons’ka Oblast’,minor,,
Popasna,48.633277,38.378037,Ukraine,UA,Luhans’ka Oblast’,minor,,
Tysmenytsya,48.90219,24.844815,Ukraine,UA,Ivano-Frankivs’ka Oblast’,minor,,
Novi Sanzhary,49.343954,34.310839,Ukraine,UA,Poltavs’ka Oblast’,minor,,
Bilyayivka,46.483191,30.216779,Ukraine,UA,Odes’ka Oblast’,minor,,
Pohrebyshche,49.486387,29.263613,Ukraine,UA,Vinnyts’ka Oblast’,minor,,
Halych,49.121792,24.72578,Ukraine,UA,Ivano-Frankivs’ka Oblast’,minor,,
Storozhynets’,48.164295,25.720285,Ukraine,UA,Chernivets’ka Oblast’,minor,,
Kitsman’,48.443571,25.766796,Ukraine,UA,Chernivets’ka Oblast’,minor,,
Kivertsi,50.834248,25.45821,Ukraine,UA,Volyns’ka Oblast’,minor,,
Sarata,46.019661,29.66567,Ukraine,UA,Odes’ka Oblast’,minor,,
Hola Prystan’,46.527195,32.524169,Ukraine,UA,Khersons’ka Oblast’,minor,,
Luhyny,51.082025,28.40057,Ukraine,UA,Zhytomyrs’ka Oblast’,minor,,
Bershad’,48.36782,29.517265,Ukraine,UA,Vinnyts’ka Oblast’,minor,,
